date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-03-01,c5.2xlarge,cmp,null,17.712,72.0,8,2073600.0,0.03075
2023-03-01,c5.2xlarge,io,null,70.848,288.0,8,8294400.0,0.03075
2023-03-01,c5ad.16xlarge,io,null,26.7100549011,22.247226,64,5125760.870400000,0.018759399838419700
2023-03-01,c5d.18xlarge,io,null,2981.7151190084,2249.61554,72,583100347.96800000000,0.018408794413923600
2023-03-01,c6id.16xlarge,io,null,20.8106460557,14.379722,64,3313087.9488000000,0.022612839429045500
2023-03-01,m5.4xlarge,cmp,null,2.6579975208,6.887223,16,396704.0448,0.024120729799223900
2023-03-01,m5a.4xlarge,cmp,null,0.1905577277,0.490557,16,28256.0832,0.0242782347031028
2023-03-01,m5ad.4xlarge,io,null,5.8020103976,12.470001,16,718272.0576,0.02907984128068640
2023-03-01,m5ad.8xlarge,io,null,4.3593331431,5.666391,32,652768.2432,0.02404160968099010
2023-03-01,m5d.4xlarge,io,null,25.81139433,67.580838,16,3892656.2688,0.023870851462732700
2023-03-01,m5d.8xlarge,io,null,367.8943007689,530.276383,32,61087839.32160000000,0.021680575012574400
2023-03-01,m5dn.4xlarge,io,null,0.5886782163000000,1.486942,16,85647.8592,0.024743660827893800
2023-03-01,m5dn.8xlarge,io,null,2.6363641531,3.749444,32,431935.9488000000,0.02197295913324080
2023-03-01,m5n.4xlarge,cmp,null,22.0359338453,43.433342,16,2501760.4992,0.03170941497735200
2023-03-01,m6id.8xlarge,io,null,0.948945944,1.278889,32,147328.0128,0.023187751829908600
2023-03-01,m6idn.8xlarge,io,null,311.3051915148,500.811118,32,57693440.79360000000,0.01942506243409220
2023-03-01,m6in.4xlarge,cmp,null,120.3336252885,170.14361200000000,16,9800272.0512,0.0442029617928368
2023-03-01,r5.2xlarge,cmp,null,2536.289217594,11759.00758,8,338659418.30400000000,0.026961131714760700
2023-03-01,r5a.2xlarge,cmp,null,113.531336046,558.791934,8,16093207.69920000000,0.02539660317600430
2023-03-01,r5ad.4xlarge,io,null,3033.0432040289,5846.560557000000,16,336761888.083200000000,0.03242337069866530
2023-03-01,r5ad.8xlarge,io,null,5.0310676138,6.066665,32,698879.8080000000,0.025915533976451600
2023-03-01,r5b.2xlarge,cmp,null,271.9651444044,780.9688980000000,8,22491904.26240000000,0.04353008568921270
2023-03-01,r5d.4xlarge,io,null,1282.5587578160000,3125.499749,16,180028785.542400000000,0.02564707368450350
2023-03-01,r5d.8xlarge,io,null,12.8529574261,16.71889,32,1926016.128,0.024024018314949400
2023-03-01,r5dn.4xlarge,io,null,3704.1823029382,8796.516412,16,506679345.331200000000,0.02631853146068310
2023-03-01,r5n.2xlarge,cmp,null,109.4999416092,474.786925,8,13673863.440000000,0.028828706058301800
2023-03-01,r6a.2xlarge,cmp,null,74.3140667045,395.969164,8,11403911.92320000000,0.023459549840256000
2023-03-01,r6i.2xlarge,cmp,null,122.6888274234,600.028354,8,17280816.59520000000,0.02555896454840700
2023-03-01,r6id.4xlarge,io,null,26.4930415403,42.685561,16,2458688.3136,0.03879098827513950
2023-03-01,r6idn.4xlarge,io,null,442.7011256586,817.7936170000000,16,47104912.33920000000,0.03383350001576560
2023-03-01,r6in.2xlarge,cmp,null,435.6166894408,2088.490013,8,60148512.37440000000,0.02607246663434250
