date,instance_type,stack_type1,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-11-01 00:00:00,c5.2xlarge,cmp,prod,118.08,480.0,8,13824000.0,16.384,1,0,0,8,13824000.0,0.03075
2023-11-01 00:00:00,c5.2xlarge,io,prod,183.024,744.0,8,21427200.0,16.384,1,0,0,8,21427200.0,0.03075
2023-11-01 00:00:00,m5.4xlarge,cmp,prod,66.7793327339,179.930837,16,10364016.2112,65.536,2,1,1,8,5182008.1056,0.023196181185267000
2023-11-01 00:00:00,m5a.4xlarge,cmp,prod,12.8052838236,35.580276,16,2049423.8976,65.536,2,1,1,8,1024711.9488,0.022493648980547500
2023-11-01 00:00:00,m5ad.8xlarge,io,prod,279.7382889105,369.970007,32,42620544.8064,131.072,4,2,2,16,21310272.4032,0.023628460045554800
2023-11-01 00:00:00,m5d.8xlarge,io,prod,673.7247375587,712.824429,32,82117374.2208,131.072,4,2,2,16,41058687.1104,0.029535881757370800
2023-11-01 00:00:00,m5dn.8xlarge,io,prod,47.3178865664,37.193051,32,4284639.475200000,131.072,4,2,2,16,2142319.7376,0.03975699533765060
2023-11-01 00:00:00,m5n.4xlarge,cmp,prod,27.715174753400000,36.651945,16,2111152.032,65.536,2,1,1,8,1055576.0160000000,0.04726075033910210
2023-11-01 00:00:00,m6a.4xlarge,cmp,prod,226.152726049,609.377236,16,35100128.7936,65.536,2,1,1,8,17550064.3968,0.023195066279211200
2023-11-01 00:00:00,m6i.4xlarge,cmp,prod,22.9693816603,64.090554,16,3691615.9104,65.536,2,1,1,8,1845807.9552,0.022399343806089600
2023-11-01 00:00:00,m6id.8xlarge,io,prod,119.1955704691,137.60723100000000,32,15852353.011200000,131.072,4,2,2,16,7926176.505600000,0.027068792461635800
2023-11-01 00:00:00,m6idn.8xlarge,io,prod,2.005328606,2.031944,32,234079.9488,131.072,4,2,2,16,117039.9744,0.030840672251548300
2023-11-01 00:00:00,m6in.4xlarge,cmp,prod,13.7775143539,28.011107,16,1613439.7632,65.536,2,1,1,8,806719.8816,0.030741185884540400
2023-11-01 00:00:00,r5.2xlarge,cmp,prod,2954.7565855367,10989.796266,8,316506132.4608,65.536,1,1,1,0,0.0,0.03360795452912610
2023-11-01 00:00:00,r5a.2xlarge,cmp,prod,250.6011681296,1166.910578,8,33607024.6464,65.536,1,1,1,0,0.0,0.026844512858807900
2023-11-01 00:00:00,r5ad.4xlarge,io,prod,673.9629809947,957.046384,16,55125871.7184,131.072,2,2,2,0,0.0,0.04401321296060480
2023-11-01 00:00:00,r5ad.8xlarge,io,prod,481.8284906854,362.686687,32,41781506.3424,262.144,4,5,4,0,0.0,0.0415155583968781
2023-11-01 00:00:00,r5b.2xlarge,cmp,prod,27.4176489445,64.542778,8,1858832.0064,65.536,1,1,1,0,0.0,0.05309976149558520
2023-11-01 00:00:00,r5d.4xlarge,io,prod,3003.3259491897,4406.358073,16,253806225.0048,131.072,2,2,2,0,0.0,0.04259932323125030
2023-11-01 00:00:00,r5d.8xlarge,io,prod,2828.2669182798,2675.901956,32,308263905.3312,262.144,4,5,4,0,0.0,0.03302936454680920
2023-11-01 00:00:00,r5dn.4xlarge,io,prod,2425.126971413,3183.1061390000000,16,183346913.6064,131.072,2,2,2,0,0.0,0.04761714787208750
2023-11-01 00:00:00,r5dn.8xlarge,io,prod,233.9735643598,148.051676,32,17055553.0752,262.144,4,5,4,0,0.0,0.04938595822612470
2023-11-01 00:00:00,r5n.2xlarge,cmp,prod,481.8582859688,1386.695058,8,39936817.6704,65.536,1,1,1,0,0.0,0.0434358552001849
2023-11-01 00:00:00,r6a.2xlarge,cmp,prod,102.9236807768,447.154193,8,12878040.7584,65.536,1,1,1,0,0.0,0.028771865049021200
2023-11-01 00:00:00,r6i.2xlarge,cmp,prod,105.8253402161,505.578341,8,14560656.2208,65.536,1,1,1,0,0.0,0.0261644268637934
2023-11-01 00:00:00,r6id.4xlarge,io,prod,471.3079048097,674.691113,16,38862208.1088,131.072,2,2,2,0,0.0,0.043659599901394100
2023-11-01 00:00:00,r6id.8xlarge,io,prod,42.9310128722,37.931385,32,4369695.552,262.144,4,5,4,0,0.0,0.03536897353619570
