relevant_date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-01,c5.2xlarge,cmp,prod,29.52,120,8,3456000,0.03075
2023-06-01,c5.2xlarge,io,prod,41.328,168,8,4838400,0.030750000000000000
2023-06-01,m5.4xlarge,cmp,prod,108.17858733190000,243.296696,16,14013889.6896,0.027789780212402700
2023-06-01,m5a.4xlarge,cmp,prod,7.1856195847000000,12.811116,16,737920.2816,0.035055589539876900
2023-06-01,m5ad.8xlarge,io,prod,81.15264816200000,67.402781,32,7764800.371200000,0.0376248608356753
2023-06-01,m5d.8xlarge,io,prod,2151.128862691,2096.748019,32,241545371.7888,0.0320604938456812
2023-06-01,m5dn.8xlarge,io,prod,25.1584150891,20.983337,32,2417280.4224,0.03746784753704210
2023-06-01,m5n.4xlarge,cmp,prod,40.1961330843,68.306107,16,3934431.7632,0.03677941004262990
2023-06-01,m6a.4xlarge,cmp,prod,75.7589257712,133.718062,16,7702160.3712,0.03540982265133340
2023-06-01,m6i.4xlarge,cmp,prod,0.0223315677,0.040833,16,2351.9808000000000,0.03418125000000000
2023-06-01,m6id.8xlarge,io,prod,0.8620559566,0.7127780000000000,32,82112.0256,0.0377947252072174
2023-06-01,m6idn.8xlarge,io,prod,28.2565431642,23.59472,32,2718111.744,0.037424346374157000
2023-06-01,m6in.4xlarge,cmp,prod,28.0491238541,46.603614,16,2684368.1664,0.03761661576034100
2023-06-01,r5.2xlarge,cmp,prod,2613.6305547502000,12952.611789,8,373035219.52320000,0.025223007117470200
2023-06-01,r5a.2xlarge,cmp,prod,14.0636740827,47.458614,8,1366808.0832,0.037041942698484600
2023-06-01,r5ad.4xlarge,io,prod,2172.846234945,3787.018664,16,218132275.0464,0.03586010572776580
2023-06-01,r5b.2xlarge,cmp,prod,159.3994699271,538.366095,8,15504943.536000000,0.03701000847924400
2023-06-01,r5d.4xlarge,io,prod,2310.2080926776000,4181.09534,16,240831091.584,0.03453353584430580
2023-06-01,r5dn.4xlarge,io,prod,4179.8209863374000,7448.01526,16,429005678.976,0.03507495655239670
2023-06-01,r5n.2xlarge,cmp,prod,148.0297374839,498.38415500000000,8,14353463.664000000,0.03712741867864460
2023-06-01,r6a.2xlarge,cmp,prod,27.7318507935,92.45943200000000,8,2662831.6416000000,0.037491916986765600
