EAN,Description,Size,BSP,Soc Date,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Old National #,Group,Group Item,Merch Cat. Code,Merch Cat. Desc
2999457,F/LINE MARROW MIX 1KG,1KG,221.67,2023-03-03T07:02:00,39.9900,39.9900,39.9900,39.9900,39.9900,39.9900,2069892,F/LINE MARROW MX,FFVEG,F,FVEG
2999918,F/LINE POTATOES 2KG 8/L,2KG,232.54,2023-03-03T07:02:00,39.9900,39.9900,39.9900,39.9900,39.9900,39.9900,2115921,WASHED POTATOES,FFVEG,F,FVEG
4139849,KIKKOMAN SOYA SCE LOW SLT,148ML,674.20,2023-03-03T07:04:00,82.9800,89.4800,97.9800,87.4800,85.4800,84.7400,2950155,KIKKOMAN SOYA,GCSAU,G,CSAU
8035238,CAMEL BLUE CURVE BOX,F20,438.26,2023-03-03T07:03:00,55.9900,55.9900,65.9900,55.9900,55.9900,55.5100,2182834,CAMEL BLUE BOX,ICIGG,I,CIGG
8035335,CAMEL CLASSIC BOX,F20,469.57,2023-03-03T07:03:00,59.9900,59.9900,70.4900,59.9900,59.9900,59.4700,2182837,CAMEL CLASSIC,ICIGG,I,CIGG
29980406,F/LINE PEA & LENTIL TUB,500G,112.35,2023-03-03T07:03:00,15.9800,15.9800,15.8900,15.9800,15.9800,15.8500,2196966,F/L P&LENT SOUP,FFVEG,F,FVEG
29980413,F/LINE CRM COUNTRY TUB SOUP,500G,107.52,2023-03-03T07:03:00,14.9800,14.9800,14.8900,14.9800,14.9800,14.8500,2197006,F/L C/C VEG SOUP,FFVEG,F,FVEG
29980420,F/LINE B/NUT SOUP TUB,500G,107.52,2023-03-03T07:03:00,14.9800,14.9800,14.8900,14.9800,14.9800,14.8500,2197009,F/L BUT/NUT SOUP,FFVEG,F,FVEG
29980475,F/L GUAVAS,750GR,259.67,2023-03-03T07:03:00,29.9900,29.9900,29.9900,29.9900,29.9900,29.9900,2261613,F/L GUAVAS,FFFRT,F,FFRT
29980666,F/L APPLE CRIPPS PINK,4'S,150.69,2023-03-03T07:03:00,16.9900,16.9900,16.9000,16.9900,16.9900,16.9900,2197853,F/L APPLE C/PINK,FFFRT,F,FFRT
29980697,F/LINE PLUMS 500G IMP,500GR,275.17,2023-03-03T07:03:00,42.9900,42.9900,42.9900,42.9900,42.9900,42.9900,2155462,FL PLUMS,FFFRT,F,FFRT
29981045,F/LINE PEARS BLUSHED,6'S,154.46,2023-03-03T07:03:00,17.9900,17.9900,17.9900,17.9900,17.9900,17.9900,2175498,F/LINE PEARS,FFFRT,F,FFRT
29981175,F/LINE-SCONES LARGE 6'S,6'S,90.74,2023-03-03T07:03:00,17.8800,17.8800,17.7900,17.8800,17.8800,17.7300,2195948,F/L SCONES L 6'S,BFMOR,B,FMOR
29981182,F/LINE-MINI SCONES 9'S,9'S,54.17,2023-03-03T07:03:00,10.7800,10.7800,10.6900,10.7800,10.7800,10.6900,2195878,F/L SCONES 9'S,BFMOR,B,FMOR
29981342,F/LINE AVO RIPE AND READY 4'S,4'S,596.51,2023-03-03T07:03:00,79.9900,79.9900,79.9900,79.9900,79.9900,79.9900,2234031,AVOCADO PUNNET,FFFRT,F,FFRT
29981380,F/LINE GOLDEN RUSSET PEAR 6'S,6'S,157.24,2023-03-03T07:03:00,17.9900,17.9900,17.9000,17.9900,17.9900,17.9900,2187352,F/L GOLD PEARS,FFFRT,F,FFRT
29981823,F/LINE-WHITE GRAPE 300G IMPORT,300G,165.76,2023-03-03T07:03:00,16.9900,16.9900,16.9000,16.9900,16.9900,16.9900,2197880,F/L WH GRAPES SL,FFFRT,F,FFRT
29981830,F/LINE-GRAP RED/BLK 300G IMPRT,300G,167.20,2023-03-03T07:03:00,15.9900,15.9900,15.9000,15.9900,15.9900,15.9900,2197893,F/L R/ SL GRAPES,FFFRT,F,FFRT
29981885,F/LINE POT&BEAN&THAI SCE 350G,350GM,51.07,2023-03-03T07:03:00,13.9800,13.9800,13.8900,13.9800,13.9800,13.8600,2203513,POTA&BEANS THAI,FFVEG,F,FVEG
29981892,F/LINE RATAT&HOL/DAISE 300G,300G,42.34,2023-03-03T07:03:00,11.4800,11.4800,11.3900,11.4800,11.4800,11.3800,2203534,RATATO H/DAISE,FFVEG,F,FVEG
29981908,F/LINE RATAT&H/DAISE SCE 500G,500GM,49.29,2023-03-03T07:03:00,15.9800,15.9800,15.8900,15.9800,15.9800,15.8500,2203492,F-RATA&H/DAISE,FFVEG,F,FVEG
29981915,F/LINE VEG MIX&BAS PESTO 225G,225GM,36.28,2023-03-03T07:03:00,9.9800,9.9800,9.8900,9.9800,9.9800,9.9000,2203537,VEG&PESTO 300G,FFVEG,F,FVEG
29981922,F/LINE VEG MIX&BASIL PESTO,400GM,43.43,2023-03-03T07:03:00,13.9800,13.9800,13.8900,13.9800,13.9800,13.8600,2203486,VEG MIX & PESTO,FFVEG,F,FVEG
29981939,F/LINE MED VEG&PARM 350G,350GM,46.69,2023-03-03T07:03:00,14.9800,14.9800,14.8900,14.9800,14.9800,14.8500,2203509,MEDITER VEG 470G,FFVEG,F,FVEG
29981946,F/LINE MED VEG&PARM 220G,220GM,43.19,2023-03-03T07:03:00,11.4800,11.4800,11.3900,11.4800,11.4800,11.3800,2203540,MEDITER VEG 235G,FFVEG,F,FVEG
29981953,F/LINE B/NUT&CIN BUTTER 300G,300GM,35.31,2023-03-03T07:03:00,9.4800,9.4800,9.3900,9.4800,9.4800,9.4000,2203530,BUTNUT&CINNAMON,FFVEG,F,FVEG
29981960,F/LINE CAULI&WHITE SCE 250G,250GM,43.12,2023-03-03T07:03:00,11.4800,11.4800,11.3900,11.4800,11.4800,11.3800,2203517,C/FLOWER&WH SCE,FFVEG,F,FVEG
29981991,F/LINE-TROPICA CUT FRUIT SALAD,300G,150.01,2023-03-03T07:03:00,12.9900,12.9900,12.9000,12.9900,12.9900,12.9900,2217159,TROPICAL FRUIT,FFFRT,F,FFRT
29982004,F/LINE-CUT FRUIT GREEN SALAD,300G,157.91,2023-03-03T07:03:00,12.9900,12.9900,12.9000,12.9900,12.9900,12.9900,2217154,GREEN SALAD,FFFRT,F,FFRT
29982202,F/LINE-MELON MEDLEY,300G,150.01,2023-03-03T07:03:00,12.9900,12.9900,12.9000,12.9900,12.9900,12.9900,2217142,F MELON MEDLEY,FFFRT,F,FFRT
29982219,F/LINE EXOTIC PERSIMMON 3'S,3'S,58.69,2023-03-03T07:03:00,9.9900,9.9900,9.9000,9.9900,9.9900,9.9900,2221290,PERSIMMONS FRUIT,FFFRT,F,FFRT
29982264,F/LINE GRAPES WHITE 1.5KG,1.5KG,36.19,2023-03-03T07:03:00,49.9900,49.9900,49.9900,49.9900,49.9900,49.9900,2240972,WHITE GRAPES,FFFRT,F,FFRT
29982271,F/LINE GRAPES RED/BLACK 1.5KG,1.5KG,36.19,2023-03-03T07:03:00,49.9900,49.9900,49.9900,49.9900,49.9900,49.9900,2240978,RED&BLACK GRAPES,FFFRT,F,FFRT
29982288,F/LINE MUSHROOM WHT BUTTN,400G,326.07,2023-03-03T07:03:00,44.9900,44.9900,44.9900,44.9900,44.9900,44.9900,2241564,F-MUSHROOMS 400G,FFVEG,F,FVEG
29982318,F/L C/FRT PARAD DELIGHT,200GR,122.52,2023-03-03T07:03:00,13.9900,13.9900,13.9000,13.9900,13.9900,13.9900,2242344,mango chunks,FFFRT,F,FFRT
29982325,F/L C/FRT MELON QUARTER,200GR,95.66,2023-03-03T07:03:00,10.9900,10.9900,10.9900,10.9900,10.9900,10.9900,2242346,MELON QUARTERS,FFFRT,F,FFRT
29982394,F/L ONION RED UNPEELED,1KG,318.14,2023-03-03T07:03:00,34.9900,34.9900,34.9900,34.9900,34.9900,34.9900,2247294,RED ONION,FFVEG,F,FVEG
29982400,F/L ORANGES NETLON BAG,2.5KG,140.01,2023-03-03T07:03:00,49.9900,49.9900,49.9900,49.9900,49.9900,49.9900,2248465,F-ORANGES 2.5KG,FFFRT,F,FFRT
29982639,F/LINE-CROUTONS PLAIN,80G,184.93,2023-03-03T07:03:00,25.9900,25.9900,25.9900,25.9900,25.9900,25.7600,2256787,CROUTONS PLAIN,BFSAV,B,FSAV
29982646,F/LINE-CROUTONS GAR&HERB,80G,184.93,2023-03-03T07:03:00,25.9900,25.9900,25.9900,25.9900,25.9900,25.7600,2256789,CROUTONS GARLIC,BFSAV,B,FSAV
29982684,F/LINE PEPPER SWT PIMENTO,250G,288.89,2023-03-03T07:03:00,24.9900,24.9900,24.9900,24.9900,24.9900,24.9900,2266958,F/LINE PIMENTO,FFSAL,F,FSAL
29982684,F/LINE PEPPERPIMENTO,250G,112.53,2023-03-03T07:05:00,24.9900,24.9900,24.9900,24.9900,24.9900,24.9900,3128468,F/LINE PIMENTO,FFVEG,F,FVEG
29990115,F/LINE POT BABY HRB&BUTT,550G,125.71,2023-03-03T07:05:00,21.9900,21.9900,21.9900,21.9900,21.9900,21.9900,3128537,B/POTATO & H/BUT,FFVEG,F,FVEG
29990146,F/L CARROT JULIENNE,400GR,184.96,2023-03-03T07:02:00,21.9900,21.9900,21.9900,21.9900,21.9900,21.9900,2122581,CARROT JULIENNE,FFVEG,F,FVEG
29990146,F/L CARROT JULIENNE,400GR,125.80,2023-03-03T07:05:00,21.9900,21.9900,21.9900,21.9900,21.9900,21.9900,3128532,F/L JULIENNE,FFVEG,F,FVEG
29990160,F/LINE MIX VEGETABLES,400GM,108.14,2023-03-03T07:02:00,12.2900,12.2900,12.2000,12.2900,12.2900,12.2900,2122579,FL MIX VEG,FFVEG,F,FVEG
29990177,F/L BROCCOLI FLORETS,500GR,93.64,2023-03-03T07:05:00,34.9900,34.9900,34.9900,34.9900,34.9900,34.9900,3068228,F/L BROCCOLI,FFVEG,F,FVEG
29990177,F/L BROCCOLI FLORETS,500GR,53.59,2023-03-03T07:02:00,5.9900,5.9900,5.9000,5.9900,5.9900,5.9900,2122618,,FFVEG,F,FVEG
29990177,F/LINE BROCCOLI FLORETS,500GR,339.29,2023-03-03T07:02:00,29.9900,29.9900,29.9900,29.9900,29.9900,29.9900,2122656,FL BROC FLORETS,FFVEG,F,FVEG
29990184,F/L CAULIFLOWER FLORETS,500GR,93.64,2023-03-03T07:05:00,34.9900,34.9900,34.9900,34.9900,34.9900,34.9900,3068198,F/L CAULIFLOWER,FFVEG,F,FVEG
29990184,F/L CAULIFLOWER FLORETS,500GR,0.96,2023-03-03T07:02:00,0.9700,1.0900,1.1900,0.9900,0.9900,0.9900,2019227,F/L CAULIFLOWER,FFVEG,F,FVEG
29990184,F/LINE CAULI FLORETS,500GR,339.29,2023-03-03T07:02:00,29.9900,29.9900,29.9900,29.9900,29.9900,29.9900,2122657,FL CAULI FLORETS,FFVEG,F,FVEG
29990252,F/LINE-DANISH APPLE,4'S,225.88,2023-03-03T07:02:00,62.9800,62.9800,62.9800,62.9800,62.9800,62.4400,2019309,APPLE DANISH,BFMOR,B,FMOR
29990269,F/LINE-CUSTARD DANISH,4's,230.02,2023-03-03T07:02:00,62.9800,62.9800,62.9800,62.9800,62.9800,62.4400,2122930,FL CUST DANISH,BFMOR,B,FMOR
29990306,F/LINE STIR FRY MIX,450G,159.52,2023-03-03T07:05:00,24.9900,24.9900,24.9900,24.9900,24.9900,24.9900,3128698,STIR FRY MIX,FFVEG,F,FVEG
29990337,F/L STIR FRY PINEAPPLE,500GR,191.48,2023-03-03T07:02:00,32.9900,32.9900,32.9900,32.9900,32.9900,32.9900,2122585,FL PINE STIR FRY,FFVEG,F,FVEG
